1  -0.55  0.01  0.00  0.00  0.00
-0.55  1  -0.42  0.02  0.00  0.00
0.01  -0.42  1  -0.37  -0.01  -0.00
0.00  0.02  -0.37  1  -0.29  -0.03
0.00  0.00  -0.01  -0.29  1  -0.15
0.00  0.00  0.00  -0.03  -0.15  1
