1  -0.45  0.13  -0.02  0.00
-0.45  1  -0.51  0.12  0.01
0.13  -0.51  1  -0.48  0.02
-0.02  0.12  -0.48  1  -0.63
0.00  0.01  0.02  -0.63  1
