146  277  1.10  0.069
277  319  3.61  0.213
319  361  3.82  0.157
361  408  3.24  0.030
408  459  2.41  0.070
459  514  1.66  0.101
514  573  1.07  0.097
573  637  0.665  0.064
637  705  0.403  0.0403
705  774  0.243  0.0267
774  854  0.144  0.0135
854  940  0.0821  0.0074
940  1200  0.0315  0.0030
