35    0.64    0.025
45    0.71    0.018
55    0.77    0.018
65    0.81    0.015
75    0.84    0.013
85    0.87    0.012
95    0.89    0.012
110    0.91    0.010
130    0.93    0.0074
150    0.95    0.0076
170    0.96    0.0067
190    0.97    0.0058
210    0.98    0.0049
230    0.98    0.0039
250    0.99    0.0030
270    0.99    0.0030
300    0.99    0.0030
340    1.00    0.0020
380    1.00    0.0020
